"","word","stemmed","n"
"367","ambedkarites","ambedkarit",1
"368","amber","amber",2
"369","ambleton","ambleton",1
"370","ambrose","ambros",3
"371","amenities","amen",3
"372","america","america",9
"373","american","american",12
"374","americanas","americana",1
"375","americas","america",3
"376","amf","amf",2
"377","amharic","amhar",1
"378","amici","amici",2
"379","amitabha","amitabha",1
"380","amity","amiti",2
"381","amman","amman",3
"382","amor","amor",1
"383","amphibian","amphibian",1
"384","amplified","amplifi",1
"385","amplify","amplifi",1
"386","amputee","ampute",3
"387","amra","amra",2
"388","amrit","amrit",1
"389","ana","ana",1
"390","anagha","anagha",2
"391","analysis","analysi",3
"392","analyst","analyst",1
"393","anambra","anambra",1
"394","anatapi","anatapi",1
"395","anatolian","anatolian",1
"396","anderson","anderson",4
"397","andrei","andrei",2
"398","andrew's","andrew",4
"399","andrew","andrew",6
"400","andrews","andrew",1
"401","anesthesia","anesthesia",2
"402","angelman","angelman",1
"403","angels","angel",9
"404","anglers","angler",1
"405","anglican","anglican",24
"406","angling","angl",1
"407","angus","angus",1
"408","animal","anim",14
"409","animals","anim",5
"410","animated","anim",3
"411","animation","anim",2
"412","anjou","anjou",1
"413","anjuman","anjuman",1
"414","anluan","anluan",2
"415","annapolis","annapoli",1
"416","annie","anni",1
"417","announcers","announc",1
"418","annual","annual",1
"419","annunciation","annunci",2
"420","anointed","anoint",2
"421","anon","anon",1
"422","anonymous","anonym",3
"423","ansaar","ansaar",1
"424","ansari","ansari",2
"425","ansim","ansim",1
"426","anthony","anthoni",1
"427","antioch","antioch",2
"428","antiochian","antiochian",2
"429","antje","antj",2
"430","antoru","antoru",1
"431","antyx","antyx",2
"432","anubhav","anubhav",1
"433","anukatha","anukatha",1
"434","anyi","anyi",1
"435","anyuak","anyuak",1
"436","aomsa","aomsa",1
"437","apar","apar",1
"438","apartment","apart",2
"439","apega","apega",2
"440","apeiron","apeiron",1
"441","apo","apo",1
"442","apocalypse","apocalyps",1
"443","apollo","apollo",3
"444","aposilitic","aposilit",1
"445","apostle","apostl",1
"446","apostles","apostl",2
"447","apostolate","apostol",1
"448","apostolic","apostol",33
"449","apostolica","apostolica",1
"450","apoyo","apoyo",1
"451","appaloosa","appaloosa",1
"452","apphass","apphass",2
"453","apples","appl",1
"454","applewood","applewood",1
"455","applied","appli",1
"456","appraisal","apprais",1
"457","appreciation","appreci",1
"458","approved","approv",1
"459","apraxia","apraxia",1
"460","apris","apri",1
"461","aps","ap",1
"462","aptea","aptea",1
"463","apuk","apuk",1
"464","aquabelles","aquabell",1
"465","aquatic","aquat",1
"466","aquinas","aquina",1
"467","arab","arab",3
"468","arabian","arabian",2
"469","arabic","arab",4
"470","arbitration","arbitr",1
"471","arbor","arbor",1
"472","arboriculture","arboricultur",1
"473","arbour","arbour",4
"474","arch","arch",1
"475","archaeological","archaeolog",4
"476","archan","archan",1
"477","archangel","archangel",1
"478","archers","archer",2
"479","archery","archeri",1
"480","archibald","archibald",2
"481","architectural","architectur",1
"482","architecture","architectur",2
"483","archives","archiv",2
"484","arctic","arctic",2
"485","arena","arena",4
"486","arenas","arena",1
"487","ares","are",1
"488","arf","arf",2
"489","ariel","ariel",1
"490","arise","aris",6
"491","ark","ark",8
"492","arlington","arlington",2
"493","armenian","armenian",1
"494","armored","armor",1
"495","arms","arm",2
"496","armstrong","armstrong",2
"497","army","armi",6
"498","aromantics","aromant",1
"499","arp","arp",1
"500","arpan","arpan",5
"501","arriva","arriva",1
"502","arrivants","arriv",1
"503","arrowwood","arrowwood",1
"504","arsi","arsi",1
"505","art","art",31
"506","arthur","arthur",2
"507","article","articl",1
"508","articulate","articul",1
"509","artist","artist",6
"510","artistic","artist",5
"511","artistique","artistiqu",1
"512","artists","artist",10
"513","artpoint","artpoint",1
"514","arts","art",104
"515","artwalk","artwalk",1
"516","arusha","arusha",2
"517","asamblea","asamblea",1
"518","asasa","asasa",1
"519","ascension","ascens",2
"520","asexuals","asexu",1
"521","asi","asi",1
"522","asia","asia",4
"523","asian","asian",5
"524","askee","aske",1
"525","asociacion","asociacion",2
"526","aspen","aspen",19
"527","aspergers","asperg",2
"528","aspire","aspir",2
"529","asra","asra",1
"530","ass'n","ass'n",1
"531","assault","assault",3
"532","assemblee","assemble",2
"533","assemblies","assembl",3
"534","assembly","assembl",65
"535","assessment","assess",1
"536","asset","asset",2
"537","assist","assist",3
"538","assistance","assist",13
"539","assistants","assist",2
"540","assisted","assist",3
"541","asso","asso",1
"542","assoc","assoc",3
"543","assocation","assoc",2
"544","associates","associ",2
"545","associatio","associatio",1
"546","association","associ",1835
"547","associations","associ",4
"548","associationsociety","associationsocieti",1
"549","associaton","associaton",2
"550","assumption","assumpt",1
"551","assured","assur",1
"552","assyrian","assyrian",1
"553","astronomical","astronom",2
"554","asu","asu",1
"555","atb","atb",1
"556","atebubu","atebubu",1
"557","atheist","atheist",1
"558","athletes","athlet",2
"559","athletic","athlet",13
"560","athletics","athlet",3
"561","atla","atla",1
"562","attach","attach",1
"563","attachment","attach",1
"564","attack","attack",1
"565","attendance","attend",2
"566","attollo","attollo",1
"567","atv","atv",1
"568","auburn","auburn",4
"569","aucamapu","aucamapu",1
"570","audit","audit",1
"571","auditoria","auditoria",1
"572","auditors","auditor",1
"573","audrey","audrey",2
"574","augustine's","augustin",1
"575","augustine","augustin",1
"576","aunts","aunt",2
"577","aurora","aurora",3
"578","australian","australian",3
"579","austrian","austrian",1
"580","authorities","author",1
"581","authority","author",2
"582","autism","autism",12
"583","auto","auto",6
"584","autoimmune","autoimmun",1
"585","auxiliary","auxiliari",2
"586","auxilium","auxilium",3
"587","avac","avac",1
"588","avalanche","avalanch",1
"589","avancee","avance",1
"590","aventa","aventa",2
"591","aventerra","aventerra",1
"592","avenue","avenu",3
"593","avenues","avenu",2
"594","aviation","aviat",4
"595","avivamiento","avivamiento",1
"596","awa","awa",1
"597","awaken","awaken",2
"598","award","award",5
"599","awards","award",3
"600","awareness","awar",6
"601","awasis","awasi",1
"602","awo","awo",2
"603","axe","axe",1
"604","axemen","axemen",1
"605","axis","axi",1
"606","ayc","ayc",1
"607","ayme","aym",1
"608","ayuda","ayuda",1
"609","azam","azam",1
"610","azhar","azhar",14
"611","b'nai","b'nai",4
"612","b'rith","b'rith",2
"613","b.j","b.j",1
"614","b.p.o.e","b.p.o.e",1
"615","baac","baac",1
"616","bab","bab",2
"617","baba","baba",1
"618","babae","baba",1
"619","babe","babe",2
"620","babes","babe",1
"621","baboutcheu","baboutcheu",1
"622","bach","bach",2
"623","bacha","bacha",1
"624","backcountry","backcountri",1
"625","backup","backup",1
"626","baden","baden",1
"627","badgers","badger",1
"628","badlands","badland",1
"629","badminton","badminton",1
"630","bafut","bafut",1
"631","bagging","bag",2
"632","bags","bag",1
"633","baguazhang","baguazhang",1
"634","baha'is","baha'i",2
"635","bahr","bahr",1
"636","bai","bai",1
"637","baila","baila",1
"638","bailie","baili",1
"639","baines","bain",2
"640","baitul","baitul",2
"641","bakossi","bakossi",1
"642","bala","bala",1
"643","balaji","balaji",1
"644","balance","balanc",2
"645","ball","ball",2
"646","ballet","ballet",7
"647","balloon","balloon",1
"648","balm","balm",2
"649","balmoral","balmor",1
"650","balram","balram",1
"651","bamboo","bamboo",1
"652","bamfs","bamf",1
"653","bamileke","bamilek",1
"654","ban","ban",1
"655","banbury","banburi",1
"656","band","band",26
"657","bandali","bandali",1
"658","banding","band",2
"659","banff","banff",9
"660","bangla","bangla",1
"661","bangladesh","bangladesh",5
"662","bangladeshi","bangladeshi",2
"663","bank","bank",14
"664","bankview","bankview",2
"665","banner","banner",2
"666","banquet","banquet",1
"667","bantam","bantam",1
"668","baptist","baptist",108
"669","baptiste","baptist",2
"670","baptists","baptist",2
"671","bar","bar",4
"672","bara","bara",2
"673","baraza","baraza",1
"674","barbeque","barbequ",1
"675","barbershop","barbershop",2
"676","barc's","barc",1
"677","barnabas","barnaba",3
"678","barnardo's","barnardo",1
"679","barr","barr",1
"680","barracuda","barracuda",1
"681","bartok","bartok",1
"682","barvinok","barvinok",1
"683","baseball","basebal",14
"684","basic","basic",2
"685","basil's","basil",1
"686","basin","basin",2
"687","basketball","basketbal",25
"688","basset","basset",1
"689","bat","bat",1
"690","batanes","batan",1
"691","batangueno","batangueno",1
"692","battery","batteri",1
"693","battle","battl",1
"694","bay","bay",6
"695","bayview","bayview",2
"696","bazalgette","bazalgett",3
"697","bcac","bcac",1
"698","beach","beach",5
"699","beacon","beacon",2
"700","beakerhead","beakerhead",2
"701","beam","beam",1
"702","bear","bear",2
"703","bears","bear",2
"704","bearspaw","bearspaw",15
"705","beats","beat",2
"706","beautiful","beauti",1
"707","beauty","beauti",2
"708","beaverbrook","beaverbrook",2
"709","bed","bed",1
"710","beddington","beddington",4
"711","beef","beef",2
"712","beekeepers","beekeep",2
"713","bees","bee",1
"714","begin","begin",2
"715","beginning","begin",1
"716","beginnings","begin",3
"717","behaviour","behaviour",3
"718","beida","beida",1
"719","beiseker","beisek",1
"720","bel","bel",1
"721","belcher","belcher",1
"722","belfast","belfast",1
"723","belief","belief",2
"724","believers","believ",1
"725","bell","bell",1
"726","bellator","bellat",1
"727","bellevue","bellevu",1
"728","bellissima","bellissima",1
"729","belmount","belmount",1
"730","belong","belong",1
"731","beltline","beltlin",3
"732","belvedere","belveder",1
"733","benchrest","benchrest",1
"734","benefit","benefit",6
"735","benevolent","benevol",19
"736","bengali","bengali",2
"737","benjamin","benjamin",1
"738","bennett","bennett",1
"739","bent","bent",1
"740","bentiu","bentiu",1
"741","berea","berea",1
"742","berean","berean",2
"743","berkhold","berkhold",2
"744","berkshire","berkshir",3
"745","bermuda","bermuda",1
"746","bernadette","bernadett",2
"747","bernie's","berni",2
"748","bernie","berni",1
"749","bert","bert",1
"750","bertha","bertha",1
"751","beta","beta",1
"752","bete's","bete",1
"753","betel","betel",1
"754","betesda","betesda",2
"755","beth","beth",4
"756","bethany","bethani",8
"757","bethechangeyyc","bethechangeyyc",1
"758","bethel","bethel",18
"759","bethlehem","bethlehem",1
"760","bethlen","bethlen",1
"761","bethune","bethun",1
"762","betterment","better",1
"763","beverly","bever",1
